;;;Nazwisko;Imię;Telefon;Adres e-mail;Rola na evencie;Czas pracy;
;Załadunek;;;;;;;;
;1;;;Alan Baker;;;Technik;26.06.2026 10:00 - 26.06.2026 14:00;
;Montaż;;;;;;;;
;2;;;Alan Baker;;;Technik;28.06.2026 06:00 - 28.06.2026 16:00;
;Event;;;;;;;;
;3;;;Alan Baker;;;Technik;02.07.2026 10:00 - 02.07.2026 15:00;
;Demontaż;;;;;;;;
;4;;;Alan Baker;;;Technik;02.07.2026 15:00 - 02.07.2026 23:55;
