Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Transport;Obsługa;Inne;Suma;
;Dobry Dźwięk/Dioda outdoor 5x3/Nocny Targ Towarzyski/2026;2026-07-29;Piechnik Piotr;Nowa;7 837,50 zł;1 942,50 zł;500,00 zł;7 500,00 zł;0,00 zł;17 780,00 zł;
;Dobry Dźwięk/Dioda outdoor 5x3/Nocny Targ Towarzyski/2026 (nowa);2026-08-11;Piechnik Piotr;Zaakceptowana;8 037,50 zł;1 942,50 zł;500,00 zł;7 500,00 zł;0,00 zł;17 980,00 zł;
