Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Transport;Obsługa;Inne;Suma;
;Amako Expo / MSPO / Kielce (outdoor) (nowa);2026-07-15;Studencki Jan;Nowa;16 170,00 zł;2 325,00 zł;1 230,00 zł;8 300,00 zł;0,00 zł;28 025,00 zł;
;Amako Expo / MSPO / Kielce (outdoor);2026-07-13 11:45:52;Studencki Jan;Nowa;6 175,00 zł;1 209,00 zł;1 230,00 zł;8 300,00 zł;0,00 zł;16 914,00 zł;
